cohort_month,loyalty_status,months_since_acquisition,active_users,cohort_size,retention_pct
2019-08-01,0,24,1,902,0.11
2019-08-01,0,25,3,902,0.33
2019-08-01,0,27,2,902,0.22
2019-08-01,0,29,2,902,0.22
2019-08-01,0,30,1,902,0.11
2019-08-01,0,33,2,902,0.22
2019-08-01,0,34,2,902,0.22
2019-08-01,0,38,1,902,0.11
2019-08-01,0,39,1,902,0.11
2019-08-01,1,0,133,133,100.0
2019-08-01,1,4,1,133,0.75
2019-08-01,1,8,1,133,0.75
2019-08-01,1,10,1,133,0.75
2019-08-01,1,21,1,133,0.75
2019-08-01,1,23,1,133,0.75
2019-08-01,1,25,1,133,0.75
2019-08-01,1,35,1,133,0.75
2019-08-01,1,38,2,133,1.5
2019-09-01,0,0,849,849,100.0
2019-09-01,0,1,17,849,2.0
2019-09-01,0,2,10,849,1.18
2019-09-01,0,3,5,849,0.59
2019-09-01,0,4,2,849,0.24
2019-09-01,0,5,2,849,0.24
2019-09-01,0,7,4,849,0.47
2019-09-01,0,8,1,849,0.12
2019-09-01,0,10,1,849,0.12
2019-09-01,0,11,4,849,0.47
2019-09-01,0,12,2,849,0.24
2019-09-01,0,13,3,849,0.35
2019-09-01,0,14,4,849,0.47
2019-09-01,0,15,2,849,0.24
2019-09-01,0,16,1,849,0.12
2019-09-01,0,17,1,849,0.12
2019-09-01,0,19,1,849,0.12
2019-09-01,0,20,2,849,0.24
2019-09-01,0,22,1,849,0.12
2019-09-01,0,23,1,849,0.12
2019-09-01,0,25,1,849,0.12
2019-09-01,0,26,2,849,0.24
2019-09-01,0,27,3,849,0.35
2019-09-01,0,28,1,849,0.12
2019-09-01,0,31,1,849,0.12
2019-09-01,0,34,1,849,0.12
2019-09-01,0,35,1,849,0.12
2019-09-01,0,36,1,849,0.12
2019-09-01,0,37,2,849,0.24
2019-09-01,0,38,1,849,0.12
2019-09-01,1,0,166,166,100.0
2019-09-01,1,2,2,166,1.2
2019-09-01,1,5,1,166,0.6
2019-09-01,1,6,2,166,1.2
2019-09-01,1,7,1,166,0.6
2019-09-01,1,8,1,166,0.6
2019-09-01,1,12,1,166,0.6
2019-09-01,1,16,1,166,0.6
2019-09-01,1,20,1,166,0.6
2019-09-01,1,24,1,166,0.6
2019-09-01,1,34,1,166,0.6
2019-09-01,1,39,1,166,0.6
2019-10-01,0,0,955,955,100.0
2019-10-01,0,1,16,955,1.68
2019-10-01,0,2,15,955,1.57
2019-10-01,0,3,3,955,0.31
2019-10-01,0,4,4,955,0.42
2019-10-01,0,5,5,955,0.52
2019-10-01,0,6,4,955,0.42
2019-10-01,0,7,2,955,0.21
2019-10-01,0,8,3,955,0.31
2019-10-01,0,10,2,955,0.21
2019-10-01,0,11,1,955,0.1
2019-10-01,0,12,4,955,0.42
2019-10-01,0,13,6,955,0.63
2019-10-01,0,14,2,955,0.21
2019-10-01,0,15,4,955,0.42
2019-10-01,0,16,2,955,0.21
2019-10-01,0,17,2,955,0.21
2019-10-01,0,19,1,955,0.1
2019-10-01,0,20,2,955,0.21
2019-10-01,0,21,1,955,0.1
2019-10-01,0,22,3,955,0.31
2019-10-01,0,24,2,955,0.21
2019-10-01,0,25,2,955,0.21
2019-10-01,0,26,1,955,0.1
2019-10-01,0,27,4,955,0.42
2019-10-01,0,28,1,955,0.1
2019-10-01,0,35,3,955,0.31
2019-10-01,0,36,1,955,0.1
2019-10-01,0,38,1,955,0.1
2019-10-01,1,0,211,211,100.0
2019-10-01,1,1,1,211,0.47
2019-10-01,1,3,1,211,0.47
2019-10-01,1,4,3,211,1.42
2019-10-01,1,7,1,211,0.47
2019-10-01,1,12,1,211,0.47
2019-10-01,1,13,1,211,0.47
2019-10-01,1,15,1,211,0.47
2019-10-01,1,17,1,211,0.47
2019-10-01,1,18,1,211,0.47
2019-11-01,0,0,980,980,100.0
2019-11-01,0,1,11,980,1.12
2019-11-01,0,2,8,980,0.82
2019-11-01,0,3,5,980,0.51
2019-11-01,0,4,6,980,0.61
2019-11-01,0,5,4,980,0.41
2019-11-01,0,6,4,980,0.41
2019-11-01,0,7,3,980,0.31
2019-11-01,0,8,1,980,0.1
2019-11-01,0,9,2,980,0.2
2019-11-01,0,10,3,980,0.31
2019-11-01,0,11,4,980,0.41
2019-11-01,0,12,4,980,0.41
2019-11-01,0,13,3,980,0.31
2019-11-01,0,14,3,980,0.31
2019-11-01,0,15,2,980,0.2
2019-11-01,0,16,2,980,0.2
2019-11-01,0,17,1,980,0.1
2019-11-01,0,18,3,980,0.31
2019-11-01,0,19,3,980,0.31
2019-11-01,0,20,1,980,0.1
2019-11-01,0,21,1,980,0.1
2019-11-01,0,23,1,980,0.1
2019-11-01,0,24,3,980,0.31
2019-11-01,0,25,2,980,0.2
2019-11-01,0,26,4,980,0.41
2019-11-01,0,28,1,980,0.1
2019-11-01,0,29,1,980,0.1
2019-11-01,0,30,1,980,0.1
2019-11-01,0,32,1,980,0.1
2019-11-01,0,33,1,980,0.1
2019-11-01,0,37,3,980,0.31
2019-11-01,1,0,281,281,100.0
2019-11-01,1,1,1,281,0.36
2019-11-01,1,5,1,281,0.36
2019-11-01,1,6,1,281,0.36
2019-11-01,1,9,1,281,0.36
2019-11-01,1,22,2,281,0.71
2019-11-01,1,23,1,281,0.36
2019-11-01,1,33,1,281,0.36
2019-12-01,0,0,902,902,100.0
2019-12-01,0,1,15,902,1.66
2019-12-01,0,2,11,902,1.22
2019-12-01,0,3,10,902,1.11
2019-12-01,0,4,5,902,0.55
2019-12-01,0,5,3,902,0.33
2019-12-01,0,6,5,902,0.55
2019-12-01,0,7,4,902,0.44
2019-12-01,0,9,7,902,0.78
